vit;dx
0;0.110076665
0.02;0.11964757
0.04;0.12991371
0.06;0.140901935
0.08;0.152636427
0.1;0.165138023
0.12;0.178423485
0.14;0.192504725
0.16;0.20738799
0.18;0.223073015
0.2;0.239552157
0.22;0.256809536
0.24;0.274820171
0.26;0.293549172
0.28;0.312950968
0.3;0.33297197
0.32;0.353569514
0.34;0.374703644
0.36;0.396330246
0.38;0.418401219
0.4;0.440864691
0.42;0.463665276
0.44;0.486744368
0.46;0.510040466
0.48;0.533489523
0.5;0.557025334
0.52;0.580579932
0.54;0.604084008
0.56;0.627467351
0.58;0.650659283
0.6;0.673589111
0.62;0.696186576
0.64;0.718382292
0.66;0.740108185
0.68;0.761297911
0.7;0.781887265
0.72;0.801814562
0.74;0.821021
0.76;0.839450992
0.78;0.857052468
0.8;0.873777149
0.82;0.889580787
0.84;0.904423362
0.86;0.918269254
0.88;0.931087372
0.9;0.942851247
0.92;0.953539089
0.94;0.963133808
0.96;0.971623004
0.98;0.978998915
1;0.985258345
1.02;0.990402552
1.04;0.994437116
1.06;0.997371773
1.08;0.999220239
1.1;1
1.12;0.999732096
1.14;0.998440882
1.16;0.996153783
1.18;0.992901033
1.2;0.988715416
1.22;0.983631991
1.24;0.97768783
1.26;0.970921742
1.28;0.963374006
1.3;0.955086112
1.32;0.9461005
1.34;0.936460317
1.36;0.926209173
1.38;0.915390913
1.4;0.904049404
1.42;0.892228327
1.44;0.879970989
1.46;0.867320145
1.48;0.854317835
1.5;0.841005236
1.52;0.82742253
1.54;0.813608783
1.56;0.799601842
1.58;0.785438243
1.6;0.771153134
1.62;0.756780212
1.64;0.742351672
1.66;0.727898167
1.68;0.71344878
1.7;0.699031007
1.72;0.684670752
1.74;0.670392327
1.76;0.656218461
1.78;0.642170325
1.8;0.628267548
1.82;0.614528257
1.84;0.60096911
1.86;0.587605338
1.88;0.574450794
1.9;0.561517999
1.92;0.548818198
1.94;0.536361415
1.96;0.524156508
1.98;0.512211229
2;0.500532037
3;0
50;0
